      1 GO:0000018	regulation of DNA recombination
      5 GO:0042742	defense response to bacterium
      5 GO:0043005	neuron projection
      5 GO:0043025	neuronal cell body
      5 GO:0043169	cation binding
      5 GO:0044087	regulation of cellular component biogenesis
      5 GO:0044092	negative regulation of molecular function
      5 GO:0044297	cell body
      5 GO:0044463	obsolete cell projection part
      5 GO:0044703	multi-organism reproductive process
      5 GO:0045597	positive regulation of cell differentiation
      5 GO:0045937	positive regulation of phosphate metabolic process
      5 GO:0046777	protein autophosphorylation
      5 GO:0046872	metal ion binding
      5 GO:0048193	Golgi vesicle transport
      5 GO:0048732	gland development
      5 GO:0051049	regulation of transport
      5 GO:0051090	regulation of DNA-binding transcription factor activity
      5 GO:0051098	regulation of binding
      5 GO:0051174	regulation of phosphorus metabolic process
      5 GO:0051248	negative regulation of protein metabolic process
      5 GO:0051259	protein complex oligomerization
      5 GO:0055085	transmembrane transport
      5 GO:0070647	protein modification by small protein conjugation or removal
      5 GO:0071345	cellular response to cytokine stimulus
      5 GO:0071495	cellular response to endogenous stimulus
      5 GO:0080134	regulation of response to stress
      5 GO:0098754	detoxification
      5 GO:0099402	plant organ development
      5 GO:0120038	obsolete plasma membrane bounded cell projection part
      5 GO:0140098	catalytic activity, acting on RNA
      5 GO:1901607	alpha-amino acid biosynthetic process
      5 GO:1901701	cellular response to oxygen-containing compound
      5 GO:1901987	regulation of cell cycle phase transition
      5 GO:1901990	regulation of mitotic cell cycle phase transition
      5 GO:1990748	cellular detoxification
      6 GO:0000166	nucleotide binding
      6 GO:0000228	nuclear chromosome
      6 GO:0003677	DNA binding
      6 GO:0004672	protein kinase activity
      6 GO:0004674	protein serine/threonine kinase activity
      6 GO:0005730	nucleolus
      6 GO:0005774	vacuolar membrane
      6 GO:0006281	DNA repair
      6 GO:0006357	regulation of transcription by RNA polymerase II
      6 GO:0006468	protein phosphorylation
      6 GO:0006575	cellular modified amino acid metabolic process
      6 GO:0006629	lipid metabolic process
      6 GO:0007166	cell surface receptor signaling pathway
      6 GO:0007346	regulation of mitotic cell cycle
      6 GO:0009967	positive regulation of signal transduction
      6 GO:0010647	positive regulation of cell communication
      6 GO:0010942	positive regulation of cell death
      6 GO:0014070	response to organic cyclic compound
      6 GO:0019637	organophosphate metabolic process
      6 GO:0022603	regulation of anatomical structure morphogenesis
      6 GO:0023056	positive regulation of signaling
      6 GO:0031401	positive regulation of protein modification process
      6 GO:0034599	cellular response to oxidative stress
      6 GO:0035295	tube development
      6 GO:0043043	peptide biosynthetic process
      6 GO:0043065	positive regulation of apoptotic process
      6 GO:0043068	positive regulation of programmed cell death
      6 GO:0044255	cellular lipid metabolic process
      6 GO:0044272	sulfur compound biosynthetic process
      6 GO:0044282	small molecule catabolic process
      6 GO:0044419	interspecies interaction between organisms
      6 GO:0044434	obsolete chloroplast part
      6 GO:0044437	obsolete vacuolar part
      6 GO:0044459	obsolete plasma membrane part
      6 GO:0045595	regulation of cell differentiation
      6 GO:0045893	positive regulation of transcription, DNA-templated
      6 GO:0046700	heterocycle catabolic process
      6 GO:0048585	negative regulation of response to stimulus
      6 GO:0048589	developmental growth
      6 GO:0050662	obsolete coenzyme binding
      6 GO:0050790	regulation of catalytic activity
      6 GO:0051254	positive regulation of RNA metabolic process
      6 GO:0051276	chromosome organization
      6 GO:0098542	defense response to other organism
      6 GO:1901265	nucleoside phosphate binding
      6 GO:1901605	alpha-amino acid metabolic process
      6 GO:1902531	regulation of intracellular signal transduction
      6 GO:1902680	positive regulation of RNA biosynthetic process
      6 GO:1903508	positive regulation of nucleic acid-templated transcription
      6 GO:1990904	ribonucleoprotein complex
      7 GO:0000902	cell morphogenesis
      7 GO:0003723	RNA binding
      7 GO:0005773	vacuole
      7 GO:0005789	endoplasmic reticulum membrane
      7 GO:0006518	peptide metabolic process
      7 GO:0006520	cellular amino acid metabolic process
      7 GO:0006886	intracellular protein transport
      7 GO:0006952	defense response
      7 GO:0009636	response to toxic substance
      7 GO:0009719	response to endogenous stimulus
      7 GO:0009791	post-embryonic development
      7 GO:0009991	response to extracellular stimulus
      7 GO:0010035	response to inorganic substance
      7 GO:0010629	negative regulation of gene expression
      7 GO:0015031	protein transport
      7 GO:0015833	peptide transport
      7 GO:0016788	hydrolase activity, acting on ester bonds
      7 GO:0018130	heterocycle biosynthetic process
      7 GO:0019439	aromatic compound catabolic process
      7 GO:0022008	neurogenesis
      7 GO:0031667	response to nutrient levels
      7 GO:0032879	regulation of localization
      7 GO:0032989	cellular component morphogenesis
      7 GO:0034470	ncRNA processing
      7 GO:0034660	ncRNA metabolic process
      7 GO:0042127	regulation of cell population proliferation
      7 GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
      7 GO:0042995	cell projection
      7 GO:0043066	negative regulation of apoptotic process
      7 GO:0043069	negative regulation of programmed cell death
      7 GO:0043168	anion binding
      7 GO:0043207	response to external biotic stimulus
      7 GO:0044093	positive regulation of molecular function
      7 GO:0044270	cellular nitrogen compound catabolic process
      7 GO:0044427	obsolete chromosomal part
      7 GO:0044432	obsolete endoplasmic reticulum part
      7 GO:0045184	establishment of protein localization
      7 GO:0048037	obsolete cofactor binding
      7 GO:0048468	cell development
      7 GO:0048584	positive regulation of response to stimulus
      7 GO:0048699	generation of neurons
      7 GO:0051094	positive regulation of developmental process
      7 GO:0051240	positive regulation of multicellular organismal process
      7 GO:0051707	response to other organism
      7 GO:0097237	cellular response to toxic substance
      7 GO:0097458	obsolete neuron part
      7 GO:0098791	Golgi apparatus subcompartment
      7 GO:0098827	endoplasmic reticulum subcompartment
      7 GO:0120025	plasma membrane bounded cell projection
      7 GO:1901361	organic cyclic compound catabolic process
      7 GO:1901362	organic cyclic compound biosynthetic process
      8 GO:0005694	chromosome
      8 GO:0006259	DNA metabolic process
      8 GO:0006396	RNA processing
      8 GO:0008144	drug binding
      8 GO:0009057	macromolecule catabolic process
      8 GO:0009507	chloroplast
      8 GO:0009607	response to biotic stimulus
      8 GO:0009894	regulation of catabolic process
      8 GO:0010243	response to organonitrogen compound
      8 GO:0016021	integral component of membrane
      8 GO:0016053	organic acid biosynthetic process
      8 GO:0016192	vesicle-mediated transport
      8 GO:0016773	phosphotransferase activity, alcohol group as acceptor
      8 GO:0031224	intrinsic component of membrane
      8 GO:0031329	regulation of cellular catabolic process
      8 GO:0031410	cytoplasmic vesicle
      8 GO:0031982	vesicle
      8 GO:0032270	positive regulation of cellular protein metabolic process
      8 GO:0035556	intracellular signal transduction
      8 GO:0040007	growth
      8 GO:0042886	amide transport
      8 GO:0043933	protein-containing complex subunit organization
      8 GO:0044265	cellular macromolecule catabolic process
      8 GO:0044431	obsolete Golgi apparatus part
      8 GO:0044435	obsolete plastid part
      8 GO:0045935	positive regulation of nucleobase-containing compound metabolic process
      8 GO:0046394	carboxylic acid biosynthetic process
      8 GO:0051188	obsolete cofactor biosynthetic process
      8 GO:0051726	regulation of cell cycle
      8 GO:0060548	negative regulation of cell death
      8 GO:0065003	protein-containing complex assembly
      8 GO:0097708	intracellular vesicle
      8 GO:0098805	whole membrane
      8 GO:1901135	carbohydrate derivative metabolic process
      8 GO:1901137	carbohydrate derivative biosynthetic process
      9 GO:0006508	proteolysis
      9 GO:0006790	sulfur compound metabolic process
      9 GO:0006974	cellular response to DNA damage stimulus
      9 GO:0009888	tissue development
      9 GO:0010557	positive regulation of macromolecule biosynthetic process
      9 GO:0010628	positive regulation of gene expression
      9 GO:0016301	kinase activity
      9 GO:0016310	phosphorylation
      9 GO:0016491	oxidoreductase activity
      9 GO:0016772	transferase activity, transferring phosphorus-containing groups
      9 GO:0018193	peptidyl-amino acid modification
      9 GO:0019899	enzyme binding
      9 GO:0022414	reproductive process
      9 GO:0022607	cellular component assembly
      9 GO:0031399	regulation of protein modification process
      9 GO:0033043	regulation of organelle organization
      9 GO:0042802	identical protein binding
      9 GO:0044429	obsolete mitochondrial part
      9 GO:0051172	negative regulation of nitrogen compound metabolic process
      9 GO:0051247	positive regulation of protein metabolic process
      9 GO:1901565	organonitrogen compound catabolic process
      9 GO:1901698	response to nitrogen compound
     10 GO:0000003	reproduction
     10 GO:0005783	endoplasmic reticulum
     10 GO:0006979	response to oxidative stress
     10 GO:0007399	nervous system development
     10 GO:0009536	plastid
     10 GO:0009966	regulation of signal transduction
     10 GO:0010605	negative regulation of macromolecule metabolic process
     10 GO:0010646	regulation of cell communication
     10 GO:0016070	RNA metabolic process
     10 GO:0017144	drug metabolic process
     10 GO:0023051	regulation of signaling
     10 GO:0031324	negative regulation of cellular metabolic process
     10 GO:0031967	organelle envelope
     10 GO:0031975	envelope
     10 GO:0034613	cellular protein localization
     10 GO:0036094	small molecule binding
     10 GO:0042493	response to drug
     10 GO:0043604	amide biosynthetic process
     10 GO:0044283	small molecule biosynthetic process
     10 GO:0051239	regulation of multicellular organismal process
     10 GO:0070727	cellular macromolecule localization
     10 GO:2000026	regulation of multicellular organismal development
     11 GO:0005654	nucleoplasm
     11 GO:0005794	Golgi apparatus
     11 GO:0006355	regulation of transcription, DNA-templated
     11 GO:0008104	protein localization
     11 GO:0009628	response to abiotic stimulus
     11 GO:0009891	positive regulation of biosynthetic process
     11 GO:0009892	negative regulation of metabolic process
     11 GO:0019752	carboxylic acid metabolic process
     11 GO:0031328	positive regulation of cellular biosynthetic process
     11 GO:0032268	regulation of cellular protein metabolic process
     11 GO:0033036	macromolecule localization
     11 GO:0043167	ion binding
     11 GO:0046907	intracellular transport
     11 GO:0048513	animal organ development
     11 GO:0051186	obsolete cofactor metabolic process
     11 GO:0051649	establishment of localization in cell
     11 GO:0055114	oxidation-reduction process
     11 GO:0065009	regulation of molecular function
     11 GO:0071310	cellular response to organic substance
     11 GO:0071702	organic substance transport
     11 GO:0071705	nitrogen compound transport
     11 GO:1903506	regulation of nucleic acid-templated transcription
     11 GO:2001141	regulation of RNA biosynthetic process
     12 GO:0003676	nucleic acid binding
     12 GO:0009059	macromolecule biosynthetic process
     12 GO:0034645	cellular macromolecule biosynthetic process
     12 GO:0042981	regulation of apoptotic process
     12 GO:0043067	regulation of programmed cell death
     12 GO:0043603	cellular amide metabolic process
     12 GO:0044271	cellular nitrogen compound biosynthetic process
     12 GO:0048583	regulation of response to stimulus
     12 GO:0050793	regulation of developmental process
     12 GO:0051246	regulation of protein metabolic process
     12 GO:0051252	regulation of RNA metabolic process
     12 GO:0051641	cellular localization
     12 GO:1901700	response to oxygen-containing compound
     13 GO:0010467	gene expression
     13 GO:0010604	positive regulation of macromolecule metabolic process
     13 GO:0010941	regulation of cell death
     13 GO:0030154	cell differentiation
     13 GO:0044085	cellular component biogenesis
     13 GO:0051128	regulation of cellular component organization
     13 GO:0051173	positive regulation of nitrogen compound metabolic process
     13 GO:0098588	bounding membrane of organelle
     14 GO:0005739	mitochondrion
     14 GO:0005886	plasma membrane
     14 GO:0006082	organic acid metabolic process
     14 GO:0009653	anatomical structure morphogenesis
     14 GO:0010556	regulation of macromolecule biosynthetic process
     14 GO:0031325	positive regulation of cellular metabolic process
     14 GO:0031984	organelle subcompartment
     14 GO:0043436	oxoacid metabolic process
     14 GO:0048869	cellular developmental process
     14 GO:0065008	regulation of biological quality
     14 GO:0070887	cellular response to chemical stimulus
     14 GO:2000112	regulation of cellular macromolecule biosynthetic process
     15 GO:0006996	organelle organization
     15 GO:0007165	signal transduction
     15 GO:0009889	regulation of biosynthetic process
     15 GO:0009893	positive regulation of metabolic process
     15 GO:0010033	response to organic substance
     15 GO:0019219	regulation of nucleobase-containing compound metabolic process
     15 GO:0023052	signaling
     15 GO:0031326	regulation of cellular biosynthetic process
     15 GO:0043228	non-membrane-bounded organelle
     15 GO:0043232	intracellular non-membrane-bounded organelle
     15 GO:0051704	multi-organism process
     15 GO:0071944	cell periphery
     16 GO:0006796	phosphate-containing compound metabolic process
     16 GO:0031981	nuclear lumen
     16 GO:0044428	obsolete nuclear part
     16 GO:0090304	nucleic acid metabolic process
     17 GO:0007154	cell communication
     17 GO:0009605	response to external stimulus
     17 GO:0010468	regulation of gene expression
     17 GO:0016787	hydrolase activity
     17 GO:0031090	organelle membrane
     17 GO:0044425	obsolete membrane part
     17 GO:0140096	catalytic activity, acting on a protein
     17 GO:1901575	organic substance catabolic process
     18 GO:0006793	phosphorus metabolic process
     18 GO:0032991	protein-containing complex
     18 GO:0048523	negative regulation of cellular process
     18 GO:0051171	regulation of nitrogen compound metabolic process
     18 GO:0080090	regulation of primary metabolic process
     18 GO:1901566	organonitrogen compound biosynthetic process
     19 GO:0006139	nucleobase-containing compound metabolic process
     19 GO:0044281	small molecule metabolic process
     19 GO:0048522	positive regulation of cellular process
     19 GO:0048731	system development
     20 GO:0005829	cytosol
     20 GO:0006464	cellular protein modification process
     20 GO:0006810	transport
     20 GO:0007275	multicellular organism development
     20 GO:0012505	endomembrane system
     20 GO:0033554	cellular response to stress
     20 GO:0036211	protein modification process
     20 GO:0048518	positive regulation of biological process
     20 GO:0051234	establishment of localization
     20 GO:0060255	regulation of macromolecule metabolic process
     21 GO:0009056	catabolic process
     21 GO:0031323	regulation of cellular metabolic process
     21 GO:0044248	cellular catabolic process
     21 GO:0048519	negative regulation of biological process
     21 GO:0051179	localization
     21 GO:0097159	organic cyclic compound binding
     21 GO:1901363	heterocyclic compound binding
     22 GO:0031974	membrane-enclosed lumen
     22 GO:0032501	multicellular organismal process
     22 GO:0032502	developmental process
     22 GO:0043233	organelle lumen
     22 GO:0048856	anatomical structure development
     22 GO:0070013	intracellular organelle lumen
     23 GO:0016043	cellular component organization
     23 GO:0016740	transferase activity
     23 GO:0019222	regulation of metabolic process
     23 GO:0043412	macromolecule modification
     24 GO:0042221	response to chemical
     24 GO:0046483	heterocycle metabolic process
     24 GO:1901576	organic substance biosynthetic process
     25 GO:0006725	cellular aromatic compound metabolic process
     26 GO:0034641	cellular nitrogen compound metabolic process
     26 GO:0044267	cellular protein metabolic process
     27 GO:0005515	protein binding
     27 GO:0044249	cellular biosynthetic process
     27 GO:0071840	cellular component organization or biogenesis
     27 GO:1901360	organic cyclic compound metabolic process
     28 GO:0005634	nucleus
     29 GO:0009058	biosynthetic process
     29 GO:0051716	cellular response to stimulus
     30 GO:0019538	protein metabolic process
     30 GO:0044260	cellular macromolecule metabolic process
     31 GO:0006950	response to stress
     32 GO:0016020	membrane
     32 GO:0050794	regulation of cellular process
     35 GO:0005488	binding
     35 GO:0050789	regulation of biological process
     36 GO:0065007	biological regulation
     37 GO:0043170	macromolecule metabolic process
     42 GO:0050896	response to stimulus
     43 GO:1901564	organonitrogen compound metabolic process
     44 GO:0044446	obsolete intracellular organelle part
     45 GO:0044422	obsolete organelle part
     48 GO:0006807	nitrogen compound metabolic process
     48 GO:0044444	obsolete cytoplasmic part
     49 GO:0044238	primary metabolic process
     51 GO:0003824	catalytic activity
     54 GO:0044237	cellular metabolic process
     55 GO:0071704	organic substance metabolic process
     58 GO:0043231	intracellular membrane-bounded organelle
     59 GO:0043226	organelle
     59 GO:0043227	membrane-bounded organelle
     59 GO:0043229	intracellular organelle
     60 GO:0008152	metabolic process
     64 GO:0009987	cellular process
     65 GO:0005737	cytoplasm
     67 GO:0003674	molecular_function
     72 GO:0005622	intracellular
     72 GO:0044424	obsolete intracellular part
     74 GO:0005575	cellular_component
     74 GO:0005623	obsolete cell
     74 GO:0008150	biological_process
     74 GO:0044464	obsolete cell part
