      1 GO:0000019	regulation of mitotic recombination
      1 GO:0007298	border follicle cell migration
      1 GO:0007316	pole plasm RNA localization
      1 GO:0007317	regulation of pole plasm oskar mRNA localization
      1 GO:0007319	negative regulation of oskar mRNA translation
      1 GO:0007323	peptide pheromone maturation
      1 GO:0007329	positive regulation of transcription from RNA polymerase II promoter by pheromones
      1 GO:0007339	binding of sperm to zona pellucida
      1 GO:0007348	regulation of syncytial blastoderm mitotic cell cycle
      1 GO:0007368	determination of left/right symmetry
      1 GO:0007406	negative regulation of neuroblast proliferation
      1 GO:0007416	synapse assembly
      1 GO:0007424	open tracheal system development
      1 GO:0007431	salivary gland development
      1 GO:0007435	salivary gland morphogenesis
      1 GO:0007447	imaginal disc pattern formation
      1 GO:0007450	dorsal/ventral pattern formation, imaginal disc
      1 GO:0007455	eye-antennal disc morphogenesis
      1 GO:0007474	imaginal disc-derived wing vein specification
      1 GO:0007494	midgut development
      1 GO:0007525	somatic muscle development
      1 GO:0007527	adult somatic muscle development
      1 GO:0007533	mating type switching
      1 GO:0007534	gene conversion at mating-type locus
      1 GO:0007553	regulation of ecdysteroid metabolic process
      1 GO:0007554	regulation of ecdysteroid biosynthetic process
      1 GO:0007571	age-dependent general metabolic decline
      1 GO:0007585	respiratory gaseous exchange by respiratory system
      1 GO:0007591	molting cycle, chitin-based cuticle
      1 GO:0007594	puparial adhesion
      1 GO:0007602	phototransduction
      1 GO:0007608	sensory perception of smell
      1 GO:0007617	mating behavior
      1 GO:0007618	mating
      1 GO:0007619	courtship behavior
      1 GO:0007632	visual behavior
      1 GO:0007635	chemosensory behavior
      1 GO:0007638	mechanosensory behavior
      1 GO:0008013	beta-catenin binding
      1 GO:0008055	ocellus pigment biosynthetic process
      1 GO:0008074	guanylate cyclase complex, soluble
      1 GO:0008083	growth factor activity
      1 GO:0008103	oocyte microtubule cytoskeleton polarization
      1 GO:0008121	ubiquinol-cytochrome-c reductase activity
      1 GO:0008154	actin polymerization or depolymerization
      1 GO:0008171	O-methyltransferase activity
      1 GO:0008177	succinate dehydrogenase (ubiquinone) activity
      1 GO:0008190	eukaryotic initiation factor 4E binding
      1 GO:0008194	UDP-glycosyltransferase activity
      1 GO:0008201	heparin binding
      1 GO:0008205	ecdysone metabolic process
      1 GO:0008206	bile acid metabolic process
      1 GO:0008207	C21-steroid hormone metabolic process
      1 GO:0008230	ecdysone receptor holocomplex
      1 GO:0008231	repressor ecdysone receptor complex
      1 GO:0008240	tripeptidyl-peptidase activity
      1 GO:0008242	omega peptidase activity
      1 GO:0008250	oligosaccharyltransferase complex
      1 GO:0008265	Mo-molybdopterin cofactor sulfurase activity
      1 GO:0008274	gamma-tubulin ring complex
      1 GO:0008278	cohesin complex
      1 GO:0008290	F-actin capping protein complex
      1 GO:0008297	single-stranded DNA exodeoxyribonuclease activity
      1 GO:0008306	associative learning
      1 GO:0008308	voltage-gated anion channel activity
      1 GO:0008309	double-stranded DNA exodeoxyribonuclease activity
      1 GO:0008312	7S RNA binding
      1 GO:0008318	protein prenyltransferase activity
      1 GO:0008327	methyl-CpG binding
      1 GO:0008347	glial cell migration
      1 GO:0008374	O-acyltransferase activity
      1 GO:0008375	acetylglucosaminyltransferase activity
      1 GO:0008395	steroid hydroxylase activity
      1 GO:0008407	chaeta morphogenesis
      1 GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
      1 GO:0008443	phosphofructokinase activity
      1 GO:0008446	GDP-mannose 4,6-dehydratase activity
      1 GO:0008460	dTDP-glucose 4,6-dehydratase activity
      1 GO:0008465	glycerate dehydrogenase activity
      1 GO:0008478	pyridoxal kinase activity
      1 GO:0008486	diphosphoinositol-polyphosphate diphosphatase activity
      1 GO:0008519	ammonium transmembrane transporter activity
      1 GO:0008535	respiratory chain complex IV assembly
      1 GO:0008542	visual learning
      1 GO:0008553	proton-exporting ATPase activity, phosphorylative mechanism
      1 GO:0008587	imaginal disc-derived wing margin morphogenesis
      1 GO:0008616	queuosine biosynthetic process
      1 GO:0008623	CHRAC
      1 GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
      1 GO:0008635	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c
      1 GO:0008643	carbohydrate transport
      1 GO:0008645	hexose transmembrane transport
      1 GO:0008649	rRNA methyltransferase activity
      1 GO:0008655	pyrimidine-containing compound salvage
      1 GO:0008677	2-dehydropantoate 2-reductase activity
      1 GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
      1 GO:0008709	cholate 7-alpha-dehydrogenase activity
      1 GO:0008794	arsenate reductase (glutaredoxin) activity
      1 GO:0008796	bis(5'-nucleosyl)-tetraphosphatase activity
      1 GO:0008823	cupric reductase activity
      1 GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity
      1 GO:0008831	dTDP-4-dehydrorhamnose reductase activity
      1 GO:0008863	formate dehydrogenase (NAD+) activity
      1 GO:0008893	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
      1 GO:0008940	nitrate reductase activity
      1 GO:0008941	nitric oxide dioxygenase activity
      1 GO:0008976	polyphosphate kinase activity
      1 GO:0008977	prephenate dehydrogenase (NAD+) activity
      1 GO:0009068	aspartate family amino acid catabolic process
      1 GO:0009086	methionine biosynthetic process
      1 GO:0009088	threonine biosynthetic process
      1 GO:0009092	homoserine metabolic process
      1 GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway
      1 GO:0009102	biotin biosynthetic process
      1 GO:0009113	purine nucleobase biosynthetic process
      1 GO:0009125	nucleoside monophosphate catabolic process
      1 GO:0009128	purine nucleoside monophosphate catabolic process
      1 GO:0009133	nucleoside diphosphate biosynthetic process
      1 GO:0009136	purine nucleoside diphosphate biosynthetic process
      1 GO:0009147	pyrimidine nucleoside triphosphate metabolic process
      1 GO:0009151	purine deoxyribonucleotide metabolic process
      1 GO:0009154	purine ribonucleotide catabolic process
      1 GO:0009158	ribonucleoside monophosphate catabolic process
      1 GO:0009163	nucleoside biosynthetic process
      1 GO:0009164	nucleoside catabolic process
      1 GO:0009169	purine ribonucleoside monophosphate catabolic process
      1 GO:0009180	purine ribonucleoside diphosphate biosynthetic process
      1 GO:0009188	ribonucleoside diphosphate biosynthetic process
      1 GO:0009200	deoxyribonucleoside triphosphate metabolic process
      1 GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process
      1 GO:0009215	purine deoxyribonucleoside triphosphate metabolic process
      1 GO:0009218	pyrimidine ribonucleotide metabolic process
      1 GO:0009228	thiamine biosynthetic process
      1 GO:0009229	thiamine diphosphate biosynthetic process
      1 GO:0009237	siderophore metabolic process
      1 GO:0009251	glucan catabolic process
      1 GO:0009261	ribonucleotide catabolic process
      1 GO:0009298	GDP-mannose biosynthetic process
      1 GO:0009299	mRNA transcription
      1 GO:0009303	rRNA transcription
      1 GO:0009308	amine metabolic process
      1 GO:0009328	phenylalanine-tRNA ligase complex
      1 GO:0009330	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex
      1 GO:0009336	sulfate adenylyltransferase complex (ATP)
      1 GO:0009341	beta-galactosidase complex
      1 GO:0009345	glycine-tRNA ligase complex
      1 GO:0009353	mitochondrial oxoglutarate dehydrogenase complex
      1 GO:0009368	endopeptidase Clp complex
      1 GO:0009371	positive regulation of transcription by pheromones
      1 GO:0009373	regulation of transcription by pheromones
      1 GO:0009378	four-way junction helicase activity
      1 GO:0009403	toxin biosynthetic process
      1 GO:0009407	toxin catabolic process
      1 GO:0009413	response to flooding
      1 GO:0009423	chorismate biosynthetic process
      1 GO:0009437	carnitine metabolic process
      1 GO:0009453	energy taxis
      1 GO:0009512	cytochrome b6f complex
      1 GO:0009514	glyoxysome
      1 GO:0009547	plastid ribosome
      1 GO:0009583	detection of light stimulus
      1 GO:0009590	detection of gravity
      1 GO:0009594	detection of nutrient
      1 GO:0009597	detection of virus
      1 GO:0009608	response to symbiont
      1 GO:0009610	response to symbiotic fungus
      1 GO:0009644	response to high light intensity
      1 GO:0009692	ethylene metabolic process
      1 GO:0009693	ethylene biosynthetic process
      1 GO:0009695	jasmonic acid biosynthetic process
      1 GO:0009696	salicylic acid metabolic process
      1 GO:0009697	salicylic acid biosynthetic process
      1 GO:0009699	phenylpropanoid biosynthetic process
      1 GO:0009703	nitrate reductase (NADH) activity
      1 GO:0009704	de-etiolation
      1 GO:0009712	catechol-containing compound metabolic process
      1 GO:0009738	abscisic acid-activated signaling pathway
      1 GO:0009742	brassinosteroid mediated signaling pathway
      1 GO:0009757	hexose mediated signaling
      1 GO:0009767	photosynthetic electron transport chain
      1 GO:0009788	negative regulation of abscisic acid-activated signaling pathway
      1 GO:0009813	flavonoid biosynthetic process
      1 GO:0009825	multidimensional cell growth
      1 GO:0009832	plant-type cell wall biogenesis
      1 GO:0009838	abscission
      1 GO:0009840	chloroplastic endopeptidase Clp complex
      1 GO:0009846	pollen germination
      1 GO:0009847	spore germination
      1 GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway
      1 GO:0009870	defense response signaling pathway, resistance gene-dependent
      1 GO:0009914	hormone transport
      1 GO:0009918	sterol delta7 reductase activity
      1 GO:0009931	calcium-dependent protein serine/threonine kinase activity
      1 GO:0009949	polarity specification of anterior/posterior axis
      1 GO:0009950	dorsal/ventral axis specification
      1 GO:0009958	positive gravitropism
      1 GO:0009959	negative gravitropism
      1 GO:0009960	endosperm development
      1 GO:0009969	xyloglucan biosynthetic process
      1 GO:0010009	cytoplasmic side of endosome membrane
      1 GO:0010018	far-red light signaling pathway
      1 GO:0010025	wax biosynthetic process
      1 GO:0010032	meiotic chromosome condensation
      1 GO:0010037	response to carbon dioxide
      1 GO:0010044	response to aluminum ion
      1 GO:0010050	vegetative phase change
      1 GO:0010064	embryonic shoot morphogenesis
      1 GO:0010071	root meristem specification
      1 GO:0010072	primary shoot apical meristem specification
      1 GO:0010078	maintenance of root meristem identity
      1 GO:0010106	cellular response to iron ion starvation
      1 GO:0010109	regulation of photosynthesis
      1 GO:0010112	regulation of systemic acquired resistance
      1 GO:0010121	arginine catabolic process to proline via ornithine
      1 GO:0010143	cutin biosynthetic process
      1 GO:0010144	pyridoxal phosphate biosynthetic process from pyridoxamine
      1 GO:0010152	pollen maturation
      1 GO:0010164	response to cesium ion
      1 GO:0010165	response to X-ray
      1 GO:0010166	wax metabolic process
      1 GO:0010178	IAA-amino acid conjugate hydrolase activity
      1 GO:0010179	IAA-Ala conjugate hydrolase activity
      1 GO:0010191	mucilage metabolic process
      1 GO:0010192	mucilage biosynthetic process
      1 GO:0010196	nonphotochemical quenching
      1 GO:0010197	polar nucleus fusion
      1 GO:0010207	photosystem II assembly
      1 GO:0010210	IAA-Phe conjugate hydrolase activity
      1 GO:0010211	IAA-Leu conjugate hydrolase activity
      1 GO:0010214	seed coat development
      1 GO:0010217	cellular aluminum ion homeostasis
      1 GO:0010218	response to far red light
      1 GO:0010222	stem vascular tissue pattern formation
      1 GO:0010226	response to lithium ion
      1 GO:0010229	inflorescence development
      1 GO:0010252	auxin homeostasis
      1 GO:0010253	UDP-rhamnose biosynthetic process
      1 GO:0010255	glucose mediated signaling pathway
      1 GO:0010257	NADH dehydrogenase complex assembly
      1 GO:0010280	UDP-L-rhamnose synthase activity
      1 GO:0010286	heat acclimation
      1 GO:0010296	prenylcysteine methylesterase activity
      1 GO:0010310	regulation of hydrogen peroxide metabolic process
